id,reference,prediction,chrf,rouge_l
EX-0003,"{""title"": ""?대씪?곕뱶? ?ｌ? 而댄벂?낆쓽 李⑥씠"", ""tags"": [""key1"", ""key2""]}",,0.000,0.000
EX-0015,?대씪?곕뱶? ?ｌ? 而댄벂?낆쓽 李⑥씠,,0.000,0.000
EX-0027,?대씪?곕뱶? ?ｌ? 而댄벂?낆쓽 李⑥씠?????媛꾨떒???ㅻ챸,,0.000,0.000
EX-0020,"{""title"": ""Herd immunity effects of vaccination"", ""tags"": [""key1"", ""key2""]}",,0.000,0.000
EX-0032,Herd immunity effects of vaccination,,0.000,0.000
EX-0014,Herd immunity effects of vaccination,,0.000,0.000
EX-0004,"{""title"": ""Long-term impact of compound interest"", ""tags"": [""key1"", ""key2""]}",,0.000,0.000
EX-0026,A concise description of Herd immunity effects of vaccination,,0.000,0.000
EX-0008,A concise description of Herd immunity effects of vaccination,,0.000,0.000
EX-0050,Herd immunity effects of vaccination,,0.000,0.000
EX-0044,A concise description of Herd immunity effects of vaccination,,0.000,0.000
EX-0030,"- Point 1
- Point 2
- Point 3",,0.000,0.000
EX-0012,"- Point 1
- Point 2
- Point 3",,0.000,0.000
EX-0048,"- Point 1
- Point 2
- Point 3",,0.000,0.000
EX-0028,"- Point 1
- Point 2
- Point 3",,0.000,0.000
